portal_key,portal_season,transfer_date,player_id,portal_first_name,portal_last_name,portal_position,model_position_group,origin,destination,rating,stars,eligibility,match_strategy,roster_match_season,target_metric,baseline_pre_production,baseline_pre_production_missing,post_outcome_status,missing_baseline_pre_production,pre_rushing_car,missing_pre_rushing_car,pre_rushing_td,missing_pre_rushing_td,pre_rushing_ypc,missing_pre_rushing_ypc,pre_receiving_rec,missing_pre_receiving_rec,pre_receiving_yds,missing_pre_receiving_yds,pre_receiving_td,missing_pre_receiving_td,missing_rating,missing_stars,model_feature_count,model_feature_missing_count,model_feature_observed_count,pre_defensive_solo,missing_pre_defensive_solo,pre_defensive_tfl,missing_pre_defensive_tfl,pre_defensive_sacks,missing_pre_defensive_sacks,pre_defensive_qb_hur,missing_pre_defensive_qb_hur,pre_defensive_pd,missing_pre_defensive_pd,pre_interceptions_int,missing_pre_interceptions_int,pre_interceptions_yds,missing_pre_interceptions_yds,pre_receiving_ypr,missing_pre_receiving_ypr,pre_receiving_long,missing_pre_receiving_long,pre_rushing_yds,missing_pre_rushing_yds,pre_passing_att,missing_pre_passing_att,pre_passing_completions,missing_pre_passing_completions,pre_passing_td,missing_pre_passing_td,pre_passing_int,missing_pre_passing_int,pre_passing_pct,missing_pre_passing_pct,pre_passing_ypa,missing_pre_passing_ypa
9557fe61210e5e7aea80530825a881396dfbc90e4189bb297604f6c36bf8dada,2026,2026-01-17T05:25:00.000Z,5294446,Trey,Hall,RB,RB,Ole Miss,Old Dominion,0.84,3,Immediate,same_season,2026,rushing_yds,,True,right_censored_unobserved,True,,True,,True,,True,,True,,True,,True,False,False,9,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40101169e446b302795df40bda4ee01bfb2008430c5c21edf058c18cfa1ac601,2026,2026-01-12T16:56:00.000Z,5088585,Jarra,Anderson,DL,DL,Arizona,Sam Houston,0.85,3,Immediate,same_season,2026,defensive_tot,,True,right_censored_unobserved,True,,,,,,,,,,,,,False,False,8,6,2,,True,,True,,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,
5e8aa35dc2e0cfbe43b1be3edb0c4e76e1fe61d8ffdd24b318b21d71a2f679eb,2026,2026-01-17T14:20:00.000Z,5224325,Knai,Cook,S,DB,Charleston Southern,Troy,0.84,3,Immediate,same_season,2026,defensive_tot,5.0,False,right_censored_unobserved,False,,,,,,,,,,,,,False,False,9,2,7,2.0,False,0.0,False,0.0,False,,,0.0,False,,True,,True,,,,,,,,,,,,,,,,,,
2c0b3fae027d450c8744d00e879173d3dcce67fd08dc0e5b7fe1d8fed9f2f3c4,2026,2026-05-12T15:31:00.000Z,5387658,Xavior,Tyus,RB,RB,Wayne State,Eastern Michigan,,2,Immediate,same_season,2026,rushing_yds,,True,right_censored_unobserved,True,,True,,True,,True,,True,,True,,True,True,False,9,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c9bbc73fe0dfb7f086ea4fa01d73039235f4d770a88a4f56685712e807adc3b,2026,2026-01-13T18:56:00.000Z,5218754,Parker,Fulghum,WR,WR,Clemson,UL Monroe,0.82,3,Immediate,same_season,2026,receiving_yds,,True,right_censored_unobserved,True,,,,True,,,,True,,,,True,False,False,9,7,2,,,,,,,,,,,,,,,,True,,True,,True,,,,,,,,,,,,
8abe6c09afb83ce68b1563607a8c69285dca8f4e97c6978798d54205caad5e64,2026,2026-01-16T02:25:00.000Z,5226581,Caesar,Magee III,CB,DB,Northwestern State,Sam Houston,0.8,3,Immediate,same_season,2026,defensive_tot,7.0,False,right_censored_unobserved,False,,,,,,,,,,,,,False,False,9,0,9,5.0,False,0.0,False,0.0,False,,,0.0,False,1.0,False,0.0,False,,,,,,,,,,,,,,,,,,
0a9d020ba0c1a29bee3f7711a46273e627cb460f54dbc621bce14cc9ecc6724b,2026,2026-01-22T19:49:00.000Z,5382852,Julian,Walker,RB,RB,St. Vincent,UL Monroe,0.84,3,Immediate,same_season,2026,rushing_yds,,True,right_censored_unobserved,True,,True,,True,,True,,True,,True,,True,False,False,9,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352d007cb9c43cae5b901000e9931dd0f780a411731505ba7b4483331568792b,2026,2026-01-12T01:57:00.000Z,4920153,William,Watson III,QB,QB,Virginia Tech,Massachusetts,,3,Immediate,same_season,2026,passing_yds,77.0,False,right_censored_unobserved,False,,,1.0,False,,,,,,,,,True,False,11,1,10,,,,,,,,,,,,,,,,,,,22.0,False,4.0,False,2.0,False,0.0,False,0.0,False,0.5,False,19.3,False
f56e92fb4c01c5ffa1ad211b21a059be8c100800bfd1fd2bffe9938b49620ebf,2026,2026-01-17T05:14:00.000Z,5077874,Max,Drag,TE,TE,UCF,South Carolina,0.85,3,Immediate,same_season,2026,receiving_yds,19.0,False,right_censored_unobserved,False,,,,,,,3.0,False,,,0.0,False,False,False,7,0,7,,,,,,,,,,,,,,,6.3,False,11.0,False,,,,,,,,,,,,,,
0b6b6364d657514519a11af220f62abb69d37262ffaf686c04310e66e0b818c3,2026,2026-01-14T17:11:00.000Z,5141563,Husan,Longstreet,QB,QB,USC,LSU,0.92,4,Immediate,same_season,2026,passing_yds,103.0,False,right_censored_unobserved,False,,,2.0,False,,,,,,,,,False,False,11,0,11,,,,,,,,,,,,,,,,,,,76.0,False,15.0,False,13.0,False,1.0,False,0.0,False,0.867,False,6.9,False
