portal_key,portal_season,player_id,portal_first_name,portal_last_name,portal_position,model_position_group,origin,destination,target_metric,target_observed,any_stat_observed,destination_stat_observed,any_stat_no_target,no_any_stat,baseline_pre_production,pre_defensive_solo,pre_defensive_tfl,pre_defensive_sacks,pre_defensive_pd,pre_interceptions_int,pre_interceptions_yds,rating,stars,pre_receiving_rec,pre_receiving_td,pre_receiving_ypr,pre_receiving_long,pre_rushing_yds,pre_rushing_td,pre_defensive_qb_hur,pre_rushing_car,pre_rushing_ypc,pre_receiving_yds,pre_passing_att,pre_passing_completions,pre_passing_td,pre_passing_int,pre_passing_pct,pre_passing_ypa
09569c31303eb66869fce5b01a41fd35dd39b5e08578e3a3236da819d7cbfdbf,2021,4051449,Colby,Burton,CB,DB,McNeese,Hawai'i,defensive_tot,1,1,1,0,0,,,,,,,,,2,,,,,,,,,,,,,,,,
ea7dc3a1c6d33475a52bc3e013802997b9f520bf258c29098ed7bea507098b77,2021,4249040,DeAngelo,Wilson,WR,WR,Austin Peay,Western Kentucky,receiving_yds,1,1,1,0,0,57.0,,,,,,,,2,7.0,0.0,8.1,14.0,,,,,,,,,,,,
4ec977a911520c460af17f073fca7c6b75cc8d0d74025a2478b9ebf027ca7efc,2021,4035442,Ray,Thornton,OLB,LB,LSU,Texas,defensive_tot,1,1,1,0,0,5.0,4.0,2.0,2.0,0.0,,,0.84,3,,,,,,,0.0,,,,,,,,,
cb02700c339b10608c5fa6ed4acc0780e2d9f6e885fb00fb65aa0c4f71a702bd,2021,4570582,Darel,Middleton,DL,DL,Tennessee,West Virginia,defensive_tot,1,1,1,0,0,15.0,5.0,1.5,1.0,2.0,,,0.81,3,,,,,,,0.0,,,,,,,,,
16459153cb269f5a4a03c0e3b0582aaf22171f51599679c1576f6f1ea23bccfa,2021,4432434,Keyon,Mozee,RB,RB,Kansas State,Miami (OH),rushing_yds,1,1,1,0,0,34.0,,,,,,,,3,1.0,0.0,,,,0.0,,10.0,3.4,5.0,,,,,,
dfd8febd688a835f2457c6d33aa6441f57a172f59cb36835f181cdb0bbca1b35,2021,172288,Ryan,Kelley,QB,QB,Arizona State,Eastern Washington,passing_yds,0,1,1,1,0,,,,,,,,,3,,,,,,,,,,,,,,,,
391997d7da4d59577556f0f6e482c7d9ae79be19d2ec4394b917808697809d25,2021,4362756,Chris,Mills,CB,DB,Missouri,Texas State,defensive_tot,1,1,1,0,0,4.0,3.0,0.0,0.0,0.0,,,,3,,,,,,,,,,,,,,,,
069de2e1f8c38c24613907334c0dbe235e54da6aa3f0af55ef3a37d68e3fe6dd,2021,4245147,Jamire,Calvin,WR,WR,Washington State,Mississippi State,receiving_yds,1,1,1,0,0,183.0,,,,,,,,4,17.0,1.0,10.8,49.0,,,,,,,,,,,,
585125b554abb1af0c1aa09b55e01ab5082d694edc6753d3e0029c760d3d351a,2021,4361264,Isaiah,Bowser,RB,RB,Northwestern,UCF,rushing_yds,1,1,1,0,0,230.0,,,,,,,,3,8.0,1.0,,,,1.0,,78.0,2.9,52.0,,,,,,
4386f9a2857b4b28220b9888db0d618d5a0ff3c0167076ab77f5d34cbdc34789,2021,4040880,Sam,Noyer,QB,QB,Colorado,Oregon State,passing_yds,1,1,1,0,0,1101.0,,,,,,,,3,,,,,208.0,5.0,,,,,160.0,88.0,6.0,7.0,0.55,6.9
